Start,End,DIAGNOSISGROUP
1,139,Infectious and parasitic diseases
140,239,Neoplasms
240,279,"Endocrine, nutritional and metabolic diseases, and immunity disorders"
280,289,Diseases of the blood and blood-forming organs
290,319,Mental disorders
320,359,Diseases of the nervous system
360,389,Diseases of the sense organs
390,459,Diseases of the circulatory system
460,519,Diseases of the respiratory system
520,579,Diseases of the digestive system
580,629,Diseases of the genitourinary system
630,679,"Complications of pregnancy, childbirth, and the puerperium"
680,709,Diseases of the skin and subcutaneous tissue
710,739,Diseases of the musculoskeletal system and connective tissue
740,759,Congenital anomalies
760,779,Certain conditions originating in the perinatal period
780,799,"Symptoms, signs, and ill-defined conditions"
800,999,Injury and poisoning
1,89,Factors influencing health status (V)
800,999,External causes of injury and poisoning (E )
