"","CODE","StartAlpha","EndAlpha","StartNum","EndNum","DIAGNOSISGROUP"
"1","A00–B99","A","B",0,99,"Certain infectious and parasitic diseases"
"2","C00–D48","C","D",0,48,"Neoplasms"
"3","D50–D89","D","D",50,89,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"4","E00–E90","E","E",0,90,"Endocrine, nutritional and metabolic diseases"
"5","F00–F99","F","F",0,90,"Mental and behavioural disorders"
"6","G00–G99","G","G",0,99,"Diseases of the nervous system"
"7","H00–H59","H","H",0,59,"Diseases of the eye and adnexa"
"8","H60–H95","H","H",60,95,"Diseases of the ear and mastoid process"
"9","I00–I99","I","I",0,99,"Diseases of the circulatory system"
"10","J00–J99","J","J",0,99,"Diseases of the respiratory system"
"11","K00–K93","K","K",0,93,"Diseases of the digestive system"
"12","L00–L99","L","L",0,99,"Diseases of the skin and subcutaneous tissue"
"13","M00–M99","M","M",0,99,"Diseases of the musculoskeletal system and connective tissue"
"14","N00–N99","N","N",0,99,"Diseases of the genitourinary system"
"15","O00–O99","O","O",0,99,"Pregnancy, childbirth and the puerperium"
"16","P00–P96","P","P",0,96,"Certain conditions originating in the perinatal period"
"17","Q00–Q99","Q","Q",0,99,"Congenital malformations, deformations and chromosomal abnormalities"
"18","R00–R99","R","R",0,99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
"19","S00–T98","S","T",0,98,"Injury, poisoning and certain other consequences of external causes"
"20","V01–Y98","V","Y",1,98,"External causes of morbidity and mortality"
"21","Z00–Z99","Z","Z",0,99,"Factors influencing health status and contact with health services"
"22","U00–U99","U","U",0,99,"Codes for special purposes"
