"","Start","End","DIAGNOSISGROUP"
"1",1,139,"Infectious and parasitic diseases"
"2",140,239,"Neoplasms"
"3",240,279,"Endocrine, nutritional and metabolic diseases, and immunity disorders"
"4",280,289,"Diseases of the blood and blood-forming organs"
"5",290,319,"Mental disorders"
"6",320,359,"Diseases of the nervous system"
"7",360,389,"Diseases of the sense organs"
"8",390,459,"Diseases of the circulatory system"
"9",460,519,"Diseases of the respiratory system"
"10",520,579,"Diseases of the digestive system"
"11",580,629,"Diseases of the genitourinary system"
"12",630,679,"Complications of pregnancy, childbirth, and the puerperium"
"13",680,709,"Diseases of the skin and subcutaneous tissue"
"14",710,739,"Diseases of the musculoskeletal system and connective tissue"
"15",740,759,"Congenital anomalies"
"16",760,779,"Certain conditions originating in the perinatal period"
"17",780,799,"Symptoms, signs, and ill-defined conditions"
"18",800,999,"Injury and poisoning"
"19",1,89,"Factors influencing health status (V)"
"20",800,999,"External causes of injury and poisoning (E )"
